date,season,round_number,home_team,away_team,venue,home_elo,away_elo,elo_diff,elo_prob,home_form_5,home_form_10,away_form_5,away_form_10,home_avg_margin_5,away_avg_margin_5,home_avg_score_5,away_avg_score_5,home_avg_conceded_5,away_avg_conceded_5,home_streak,away_streak,h2h_home_wins_5,h2h_avg_margin_5,home_venue_win_rate,away_venue_win_rate,is_home_ground,days_rest_home,days_rest_away,home_win,margin
2015-04-02 19:20:00,2015,1,Carlton,Richmond,M.C.G.,1500.0,1500.0,40.0,0.5573,,,,,,,,,,,0,0,,,,,0,,,0,-27
2015-04-04 13:40:00,2015,1,Melbourne,Gold Coast,M.C.G.,1500.0,1500.0,40.0,0.5573,,,,,,,,,,,0,0,,,,,0,,,1,26
2015-04-04 16:35:00,2015,1,Sydney,Essendon,Stadium Australia,1500.0,1500.0,40.0,0.5573,,,,,,,,,,,0,0,,,,,0,,,1,12
2015-04-04 19:20:00,2015,1,Brisbane,Collingwood,Gabba,1500.0,1500.0,40.0,0.5573,,,,,,,,,,,0,0,,,,,0,,,0,-12
2015-04-04 19:20:00,2015,1,Western Bulldogs,West Coast,Docklands,1500.0,1500.0,40.0,0.5573,,,,,,,,,,,0,0,,,,,0,,,1,10
2015-04-05 13:10:00,2015,1,St Kilda,Greater Western Sydney,Docklands,1500.0,1500.0,40.0,0.5573,,,,,,,,,,,0,0,,,,,0,,,0,-9
2015-04-05 15:20:00,2015,1,Adelaide,North Melbourne,Adelaide Oval,1500.0,1500.0,40.0,0.5573,,,,,,,,,,,0,0,,,,,0,,,1,77
2015-04-05 18:40:00,2015,1,Fremantle,Port Adelaide,Subiaco,1500.0,1500.0,40.0,0.5573,,,,,,,,,,,0,0,,,,,0,,,1,7
2015-04-06 15:20:00,2015,1,Hawthorn,Geelong,M.C.G.,1500.0,1500.0,40.0,0.5573,,,,,,,,,,,0,0,,,,,0,,,1,62
2015-04-10 20:10:00,2015,2,West Coast,Carlton,Subiaco,1486.72,1483.28,43.44,0.5622,,,,,,,,,,,-1,-1,,,,,0,6.0,8.0,1,69
2015-04-11 13:45:00,2015,2,Richmond,Western Bulldogs,M.C.G.,1516.72,1513.28,43.44,0.5622,,,,,,,,,,,1,1,,,1.0,,0,8.0,6.0,0,-19
2015-04-11 14:10:00,2015,2,Greater Western Sydney,Melbourne,UNSW Canberra Oval,1516.72,1513.28,43.44,0.5622,,,,,,,,,,,1,1,,,,,0,6.0,7.0,1,45
2015-04-11 16:35:00,2015,2,Collingwood,Adelaide,Docklands,1516.72,1513.28,43.44,0.5622,,,,,,,,,,,1,1,,,,,0,6.0,6.0,0,-27
2015-04-11 19:20:00,2015,2,Gold Coast,St Kilda,Carrara,1486.72,1483.28,43.44,0.5622,,,,,,,,,,,-1,-1,,,,,0,7.0,6.0,0,-28
2015-04-11 19:40:00,2015,2,Port Adelaide,Sydney,Adelaide Oval,1486.72,1513.28,13.44,0.5193,,,,,,,,,,,-1,1,,,,,0,6.0,7.0,0,-48
2015-04-12 13:10:00,2015,2,Geelong,Fremantle,GMHBA Stadium,1486.72,1513.28,13.44,0.5193,,,,,,,,,,,-1,1,,,,,0,5.0,6.0,0,-44
