id,year,round,roundname,date,hteam,hteamid,hscore,ateam,ateamid,ascore,venue,winner,complete,is_final,is_grand_final,margin,is_home_win,season,round_number
2603,2015,1,Round 1,2015-04-02 19:20:00,Carlton,3,78,Richmond,14,105,M.C.G.,Richmond,100,0,0,-27,0,2015,1
2604,2015,1,Round 1,2015-04-04 13:40:00,Melbourne,11,115,Gold Coast,8,89,M.C.G.,Melbourne,100,0,0,26,1,2015,1
2605,2015,1,Round 1,2015-04-04 16:35:00,Sydney,16,72,Essendon,5,60,Stadium Australia,Sydney,100,0,0,12,1,2015,1
2606,2015,1,Round 1,2015-04-04 19:20:00,Brisbane,2,74,Collingwood,4,86,Gabba,Collingwood,100,0,0,-12,0,2015,1
2607,2015,1,Round 1,2015-04-04 19:20:00,Western Bulldogs,18,97,West Coast,17,87,Docklands,Western Bulldogs,100,0,0,10,1,2015,1
2613,2015,1,Round 1,2015-04-05 13:10:00,St Kilda,15,78,Greater Western Sydney,9,87,Docklands,Greater Western Sydney,100,0,0,-9,0,2015,1
2614,2015,1,Round 1,2015-04-05 15:20:00,Adelaide,1,140,North Melbourne,12,63,Adelaide Oval,Adelaide,100,0,0,77,1,2015,1
2615,2015,1,Round 1,2015-04-05 18:40:00,Fremantle,6,75,Port Adelaide,13,68,Subiaco,Fremantle,100,0,0,7,1,2015,1
2616,2015,1,Round 1,2015-04-06 15:20:00,Hawthorn,10,123,Geelong,7,61,M.C.G.,Hawthorn,100,0,0,62,1,2015,1
2617,2015,2,Round 2,2015-04-10 20:10:00,West Coast,17,131,Carlton,3,62,Subiaco,West Coast,100,0,0,69,1,2015,2
2618,2015,2,Round 2,2015-04-11 13:45:00,Richmond,14,66,Western Bulldogs,18,85,M.C.G.,Western Bulldogs,100,0,0,-19,0,2015,2
2619,2015,2,Round 2,2015-04-11 14:10:00,Greater Western Sydney,9,101,Melbourne,11,56,UNSW Canberra Oval,Greater Western Sydney,100,0,0,45,1,2015,2
2620,2015,2,Round 2,2015-04-11 16:35:00,Collingwood,4,63,Adelaide,1,90,Docklands,Adelaide,100,0,0,-27,0,2015,2
2621,2015,2,Round 2,2015-04-11 19:20:00,Gold Coast,8,76,St Kilda,15,104,Carrara,St Kilda,100,0,0,-28,0,2015,2
2622,2015,2,Round 2,2015-04-11 19:40:00,Port Adelaide,13,44,Sydney,16,92,Adelaide Oval,Sydney,100,0,0,-48,0,2015,2
